decada,mean,median,count
1970.0,118.81818181818181,118.0,44
1980.0,111.45098039215686,107.0,204
1990.0,112.67777777777778,108.0,540
2000.0,108.63295880149813,105.0,1335
2010.0,109.4635691657867,107.0,947
